,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Computation_Time(ms),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
351,351,C2-C8-C10,14.829911,13004.012,C2-C8-C10-C21-C24,"(2, 8, 10, 21, 24)",C2-C8-C10-C21-C24,11.100000143051147,11982,12803.156852722168,2602.3666858673096,18699.05996322632,2-8-10-21-24,29.524,13232.82
352,352,C1-C3-C8,13.900451,12412.493,C1-C3-C8-C16-C23,"(1, 3, 8, 16, 23)",C1-C3-C8-C16-C23,14.890000224113464,11993,12859.977006912231,2583.911895751953,19089.62655067444,1-3-8-16-23,35.55800000000001,12971.39
353,353,C5-C9-C10,21.887396,13181.109,C5-C9-C10-C16-C18,"(5, 9, 10, 16, 18)",C5-C9-C10-C16-C18,11.649999767541884,11987,12824.790954589844,2596.9603061676025,18933.067560195923,5-9-10-16-18,25.156,13097.21
354,354,C6-C8-C9,20.339945,13783.081,C6-C8-C9-C18-C24,"(6, 8, 9, 18, 24)",C6-C8-C9-C18-C24,12.359999865293505,11982,12780.203819274902,2595.116138458252,18765.824794769287,6-8-9-18-24,28.082,12979.62
355,355,C3-C7-C9,19.100986,13021.33,C3-C7-C9-C18-C20,"(3, 7, 9, 18, 20)",C3-C7-C9-C18-C20,11.11000031232834,11992,12734.274625778198,2568.567991256714,18826.595306396484,3-7-9-18-20,30.916,12978.819999999998
356,356,C4-C7-C9,19.353855,13491.149,C4-C7-C9-C15-C25,"(4, 7, 9, 15, 25)",C4-C7-C9-C15-C25,17.550000548362732,11994,12582.623720169067,2534.28053855896,18541.82004928589,4-7-9-15-25,33.42,13328.87
357,357,C2-C6-C7,14.185711,12773.477,C2-C6-C7-C19-C23,"(2, 6, 7, 19, 23)",C2-C6-C7-C19-C23,11.209999769926071,11992,12822.33715057373,2590.324640274048,19026.766300201416,2-6-7-19-23,24.71,12771.76
358,358,C5-C6-C8-C10,21.847189,14870.732,C5-C6-C8-C10-C22,"(5, 6, 8, 10, 22)",C5-C6-C8-C10-C22,10.23000031709671,11981,12677.42156982422,2552.680492401123,18822.736263275143,5-6-8-10-22,24.356,13146.63
359,359,C2-C5-C9,15.375975,13109.218,C2-C5-C9-C15-C16,"(2, 5, 9, 15, 16)",C2-C5-C9-C15-C16,12.999999523162842,11993,12667.58942604065,2568.1471824646,18786.921501159668,2-5-9-15-16,25.896,12647.24
360,360,C3-C6-C10,16.593897,13288.442,C3-C6-C10-C15-C24,"(3, 6, 10, 15, 24)",C3-C6-C10-C15-C24,16.220000386238098,11986,12679.14605140686,2564.645767211914,18954.166889190677,3-6-10-15-24,31.288,13115.080000000002
361,361,C2-C6-C7,14.301002,12879.057,C2-C6-C7-C17-C25,"(2, 6, 7, 17, 25)",C2-C6-C7-C17-C25,12.34000027179718,11992,12738.888025283812,2575.325727462769,18933.41445922852,2-6-7-17-25,24.632,13467.97
362,362,C4-C8-C9,17.186491,13409.241,C4-C8-C9-C16-C21,"(4, 8, 9, 16, 21)",C4-C8-C9-C16-C21,14.800000190734863,11987,12648.60200881958,2542.70601272583,18642.35043525696,4-8-9-16-21,34.528,13156.24
363,363,C3-C4-C5,14.862183,13628.773,C3-C4-C5-C21-C24,"(3, 4, 5, 21, 24)",C3-C4-C5-C21-C24,17.339999973773956,11989,12582.977771759031,2528.8031101226807,18867.121934890747,3-4-5-21-24,31.72,13014.55
364,364,C5-C7-C9,19.464,13436.03,C5-C7-C9-C19-C23,"(5, 7, 9, 19, 23)",C5-C7-C9-C19-C23,13.16000074148178,12000,12552.664756774902,2533.8501930236816,18707.07654953003,5-7-9-19-23,30.012,12688.45
365,365,C4-C5-C8,17.474117,13127.792,C4-C5-C8-C15-C17,"(4, 5, 8, 15, 17)",C4-C5-C8-C15-C17,14.249999821186066,11990,12544.339656829834,2524.3215560913086,18618.11232566833,4-5-8-15-17,31.868,13318.04
