,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,Prediction_Time(s),New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Combination_Computation_Time(s),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
132,132,C7-C9-C10,49.15028212723644,10330.778327653888,7.295608520507812e-05,C7-C9-C10-C16-C21,"(7, 9, 10, 16, 21)",C7-C9-C10-C16-C21,50.0,13991,8807.844638824463,1770.3101634979248,12.217,7-9-10-16-21,88.314,8457.960000000001
133,133,C2-C7-C9,45.08935020691136,8879.408043727493,7.343292236328125e-05,C2-C7-C9-C15-C25,"(2, 7, 9, 15, 25)",C2-C7-C9-C15-C25,62.18000054359436,13994,8750.815868377686,1761.9812488555908,12.181,2-7-9-15-25,84.658,8366.050000000001
134,134,C4-C5-C8,44.42443262076962,9634.623379366643,7.43865966796875e-05,C4-C5-C8-C19-C25,"(4, 5, 8, 19, 25)",C4-C5-C8-C19-C25,48.05999994277954,13990,8791.130304336548,1772.5908756256104,12.276,4-5-8-19-25,88.938,8502.050000000001
135,135,C2-C3-C4,45.39476549438265,8646.386389797157,7.462501525878906e-05,C2-C3-C4-C18-C20,"(2, 3, 4, 18, 20)",C2-C3-C4-C18-C20,23.27000051736832,13977,8721.380710601807,1753.898859024048,12.172,2-3-4-18-20,83.52000000000001,8601.28
136,136,C3-C6-C10,43.0425854657744,9520.631167590522,7.319450378417969e-05,C3-C6-C10-C16-C23,"(3, 6, 10, 16, 23)",C3-C6-C10-C16-C23,15.369999408721924,13986,8703.098773956299,1760.2100372314453,12.131,3-6-10-16-23,84.34200000000001,8456.050000000001
137,137,C1-C4-C6,41.10561141102138,8637.906892158071,0.0001044273376464,C1-C4-C6-C18-C20,"(1, 4, 6, 18, 20)",C1-C4-C6-C18-C20,32.670000195503235,13978,13365.22626876831,6114.34531211853,16.906,1-4-6-18-20,83.398,8634.86
138,138,C3-C5-C6-C8,46.88641159458169,10925.930932888716,7.510185241699219e-05,C3-C5-C6-C8-C19,"(3, 5, 6, 8, 19)",C3-C5-C6-C8-C19,31.029999256134037,13990,9103.410243988035,1853.9319038391116,12.689,3-5-6-8-19,82.796,8529.68
139,139,C1-C2-C7,36.44438716988258,8879.645400132744,7.486343383789062e-05,C1-C2-C7-C21-C24,"(1, 2, 7, 21, 24)",C1-C2-C7-C21-C24,57.840001583099365,13989,8974.735498428345,1837.329149246216,12.487,1-2-7-21-24,83.362,8418.880000000001
140,140,C2-C5-C10,47.01594292511264,8937.9937182689,7.557868957519531e-05,C2-C5-C10-C18-C20,"(2, 5, 10, 18, 20)",C2-C5-C10-C18-C20,39.19999897480011,13977,8923.593521118164,1814.5127296447756,12.388,2-5-10-18-20,81.652,8785.37
141,141,C3-C5-C6-C10,49.15000958618138,10734.408888630922,7.367134094238281e-05,C3-C5-C6-C10-C18,"(3, 5, 6, 10, 18)",C3-C5-C6-C10-C18,45.15999853610992,13985,8966.57919883728,1805.251121520996,12.495,3-5-6-10-18,80.924,8560.87
142,142,C1-C3-C4-C7,47.28901667405045,10418.8141779922,7.390975952148438e-05,C1-C3-C4-C7-C21,"(1, 3, 4, 7, 21)",C1-C3-C4-C7-C21,61.75000071525574,13995,9016.551733016968,1823.3470916748047,12.519,1-3-4-7-21,88.47999999999999,8417.87
